iter	Passed	Remaining
291	3985	9663
292	3992	9633
293	4005	9617
294	4017	9600
295	4025	9574
296	4039	9560
297	4050	9542
298	4066	9533
299	4075	9508
300	4085	9487
301	4095	9466
302	4105	9443
303	4117	9426
304	4130	9411
305	4139	9389
306	4149	9367
307	4160	9346
308	4173	9332
309	4181	9306
310	4193	9290
311	4206	9275
312	4214	9250
313	4225	9232
314	4236	9212
315	4244	9187
316	4255	9169
317	4268	9153
318	4276	9129
319	4288	9114
320	4299	9094
321	4310	9076
322	4319	9053
323	4328	9031
324	4338	9011
325	4348	8989
326	4357	8967
327	4367	8948
328	4378	8929
329	4388	8910
330	4397	8887
331	4407	8868
332	4418	8850
333	4427	8827
334	4437	8808
335	4445	8785
336	4454	8764
337	4465	8746
338	4474	8725
339	4483	8703
340	4492	8682
341	4501	8661
342	4511	8642
343	4521	8623
344	4531	8603
345	4540	8582
346	4550	8563
347	4561	8547
348	4573	8531
349	4582	8510
350	4593	8494
351	4601	8470
352	4611	8452
353	4624	8438
354	4632	8416
355	4642	8398
356	4653	8380
357	4661	8359
358	4672	8343
359	4685	8330
360	4694	8309
361	4705	8293
362	4714	8272
363	4724	8254
364	4733	8235
365	4741	8213
366	4753	8198
367	4760	8175
368	4769	8155
369	4780	8139
370	4788	8117
371	4797	8098
372	4807	8080
373	4815	8059
374	4824	8040
375	4833	8021
376	4843	8003
377	4851	7983
378	4861	7964
379	4871	7948
380	4880	7928
381	4889	7909
382	4898	7891
383	4908	7873
384	4920	7859
385	4928	7840
386	4938	7822
387	4948	7806
388	4956	7785
389	4965	7767
390	4975	7749
391	4984	7731
392	4992	7710
393	5004	7697
394	5013	7679
395	5022	7660
396	5032	7643
397	5040	7624
398	5051	7608
399	5060	7590
400	5068	7570
401	5079	7555
402	5086	7535
403	5095	7517
404	5105	7500
405	5113	7481
406	5122	7462
407	5132	7446
